year,mo,data_type,region,extent,area
1978,11,Goddard,N,12.01,8.97
1978,12,Goddard,N,14.12,10.85
1979,1,Goddard,N,15.54,12.33
1979,2,Goddard,N,16.31,13.11
1979,3,Goddard,N,16.45,13.13
1979,4,Goddard,N,15.46,12.43
1979,5,Goddard,N,14.06,11.04
1979,6,Goddard,N,12.59,9.28
1979,7,Goddard,N,10.47,6.59
1979,8,Goddard,N,8.15,4.96
1979,9,Goddard,N,7.2,4.53
1979,10,Goddard,N,9.39,6.11
1979,11,Goddard,N,11.16,8.29
1979,12,Goddard,N,13.54,10.55
1980,1,Goddard,N,14.96,11.85
1980,2,Goddard,N,15.98,12.82
1980,3,Goddard,N,16.13,12.92
1980,4,Goddard,N,15.49,12.45
1980,5,Goddard,N,14.04,10.88
1980,6,Goddard,N,12.31,8.93
1980,7,Goddard,N,10.39,6.45
1980,8,Goddard,N,8.04,4.84
1980,9,Goddard,N,7.85,4.83
1980,10,Goddard,N,9.46,6.42
1980,11,Goddard,N,11.69,8.64
1980,12,Goddard,N,13.72,10.71
1981,1,Goddard,N,15.03,11.82
1981,2,Goddard,N,15.65,12.45
1981,3,Goddard,N,15.61,12.62
1981,4,Goddard,N,15.12,12.16
1981,5,Goddard,N,13.9,10.93
1981,6,Goddard,N,12.57,8.96
1981,7,Goddard,N,10.62,6.23
1981,8,Goddard,N,7.86,4.38
1981,9,Goddard,N,7.25,4.38
1981,10,Goddard,N,9.19,6.19
1981,11,Goddard,N,11.17,8.23
1981,12,Goddard,N,13.74,10.47
1982,1,Goddard,N,15.26,12.11
1982,2,Goddard,N,16.06,12.79
1982,3,Goddard,N,16.15,12.99
1982,4,Goddard,N,15.57,12.55
1982,5,Goddard,N,14.17,11.1
1982,6,Goddard,N,12.69,9.4
1982,7,Goddard,N,10.75,6.79
1982,8,Goddard,N,8.26,4.92
1982,9,Goddard,N,7.45,4.38
1982,10,Goddard,N,9.98,6.6
1982,11,Goddard,N,11.91,8.97
1982,12,Goddard,N,13.83,10.81
1983,1,Goddard,N,15.1,11.92
1983,2,Goddard,N,16.02,12.86
1983,3,Goddard,N,16.1,12.84
1983,4,Goddard,N,15.3,12.12
1983,5,Goddard,N,13.54,10.8
1983,6,Goddard,N,12.36,9.2
1983,7,Goddard,N,10.91,6.79
1983,8,Goddard,N,8.36,4.88
1983,9,Goddard,N,7.52,4.63
1983,10,Goddard,N,9.64,6.7
1983,11,Goddard,N,11.64,8.91
1983,12,Goddard,N,13.44,10.56
1984,1,Goddard,N,14.61,11.6
1984,2,Goddard,N,15.32,12.17
1984,3,Goddard,N,15.62,12.48
1984,4,Goddard,N,15.15,12.1
1984,5,Goddard,N,13.68,10.81
1984,6,Goddard,N,12.2,9.02
1984,7,Goddard,N,10.15,6.19
1984,8,Goddard,N,7.87,4.59
1984,9,Goddard,N,7.17,4.05
1984,10,Goddard,N,8.84,5.84
1984,11,Goddard,N,11.29,8.15
1984,12,Goddard,N,13.18,10.19
1985,1,Goddard,N,14.86,11.6
1985,2,Goddard,N,15.67,12.39
1985,3,Goddard,N,16.06,12.66
1985,4,Goddard,N,15.34,12.46
1985,5,Goddard,N,14.23,11.19
1985,6,Goddard,N,12.4,8.88
1985,7,Goddard,N,10.09,5.89
1985,8,Goddard,N,7.46,4.51
1985,9,Goddard,N,6.93,4.17
1985,10,Goddard,N,8.88,6.03
1985,11,Goddard,N,11.39,8.35
1985,12,Goddard,N,13.19,10.15
1986,1,Goddard,N,15.02,11.79
1986,2,Goddard,N,15.89,12.53
1986,3,Goddard,N,16.08,12.65
1986,4,Goddard,N,15.15,11.95
1986,5,Goddard,N,13.52,10.63
1986,6,Goddard,N,12.1,8.93
1986,7,Goddard,N,10.47,6.53
1986,8,Goddard,N,8.01,4.92
1986,9,Goddard,N,7.54,4.66
1986,10,Goddard,N,9.89,6.77
1986,11,Goddard,N,11.78,8.81
1986,12,Goddard,N,13.4,10.46
1987,1,Goddard,N,15.2,11.81
1987,2,Goddard,N,16.11,12.93
1987,3,Goddard,N,15.95,12.75
1987,4,Goddard,N,15.33,12.28
1987,5,Goddard,N,13.81,10.91
1987,6,Goddard,N,12.57,9.32
1987,7,Goddard,N,9.98,6.84
1987,8,Goddard,N,7.69,5.35
1987,9,Goddard,N,7.48,5.6
1987,10,Goddard,N,9.29,7.44
1987,11,Goddard,N,11.52,9.67
1987,12,-9999,N,-9999,-9999
1988,1,-9999,N,-9999,-9999
1988,2,Goddard,N,15.61,13.49
1988,3,Goddard,N,16.13,13.84
1988,4,Goddard,N,15.21,13.11
1988,5,Goddard,N,13.69,11.35
1988,6,Goddard,N,12.02,9.62
1988,7,Goddard,N,10.04,6.93
1988,8,Goddard,N,7.9,5.34
1988,9,Goddard,N,7.49,5.31
1988,10,Goddard,N,9.47,7.47
1988,11,Goddard,N,11.69,9.86
1988,12,Goddard,N,13.78,11.94
1989,1,Goddard,N,15.12,13.11
1989,2,Goddard,N,15.56,13.28
1989,3,Goddard,N,15.52,13.14
1989,4,Goddard,N,14.44,12.26
1989,5,Goddard,N,12.98,11.3
1989,6,Goddard,N,12.31,9.9
1989,7,Goddard,N,10.38,7.24
1989,8,Goddard,N,7.92,5.48
1989,9,Goddard,N,7.04,4.81
1989,10,Goddard,N,9.52,6.9
1989,11,Goddard,N,11.5,9.38
1989,12,Goddard,N,13.47,11.53
1990,1,Goddard,N,14.95,12.72
1990,2,Goddard,N,15.56,13.33
1990,3,Goddard,N,15.88,13.44
1990,4,Goddard,N,14.68,12.16
1990,5,Goddard,N,13.3,10.84
1990,6,Goddard,N,11.68,9.12
1990,7,Goddard,N,9.62,6.44
1990,8,Goddard,N,6.82,4.92
1990,9,Goddard,N,6.24,4.5
1990,10,Goddard,N,9.35,6.67
1990,11,Goddard,N,11.31,9.58
1990,12,Goddard,N,13.27,11.4
1991,1,Goddard,N,14.46,12.49
1991,2,Goddard,N,15.26,13.15
1991,3,Goddard,N,15.5,13.35
1991,4,Goddard,N,14.93,12.79
1991,5,Goddard,N,13.51,11.44
1991,6,Goddard,N,12.23,9.6
1991,7,Goddard,N,9.68,6.66
1991,8,Goddard,N,7.4,5.14
1991,9,Goddard,N,6.55,4.46
1991,10,Goddard,N,9.16,6.7
1991,11,Goddard,N,11.12,9.19
1991,12,Goddard,N,13.17,11.19
1992,1,Goddard,N,14.72,12.54
1992,2,Goddard,N,15.5,13.51
1992,3,Goddard,N,15.47,13.41
1992,4,Goddard,N,14.7,12.76
1992,5,Goddard,N,13.25,11.37
1992,6,Goddard,N,12.13,9.89
1992,7,Goddard,N,10.61,7.14
1992,8,Goddard,N,7.86,5.35
1992,9,Goddard,N,7.55,5.37
1992,10,Goddard,N,9.6,7.69
1992,11,Goddard,N,11.87,9.69
1992,12,Goddard,N,13.46,11.66
1993,1,Goddard,N,15.08,12.85
1993,2,Goddard,N,15.73,13.54
1993,3,Goddard,N,15.88,13.71
1993,4,Goddard,N,15.18,12.95
1993,5,Goddard,N,13.54,11.35
1993,6,Goddard,N,11.99,9.2
1993,7,Goddard,N,9.66,6.17
1993,8,Goddard,N,7.29,4.65
1993,9,Goddard,N,6.5,4.52
1993,10,Goddard,N,9.18,6.98
1993,11,Goddard,N,11.73,9.49
1993,12,Goddard,N,13.52,11.41
1994,1,Goddard,N,14.82,12.8
1994,2,Goddard,N,15.61,13.46
1994,3,Goddard,N,15.58,13.47
1994,4,Goddard,N,14.95,12.84
1994,5,Goddard,N,13.73,11.6
1994,6,Goddard,N,12.1,9.62
1994,7,Goddard,N,10.22,6.85
1994,8,Goddard,N,7.61,5.1
1994,9,Goddard,N,7.18,5.08
1994,10,Goddard,N,9.48,7.17
1994,11,Goddard,N,11.3,9.64
1994,12,Goddard,N,13.53,11.43
1995,1,Goddard,N,14.62,12.72
1995,2,Goddard,N,15.24,13.3
1995,3,Goddard,N,15.32,13.28
1995,4,Goddard,N,14.59,12.32
1995,5,Goddard,N,13.04,10.76
1995,6,Goddard,N,11.55,8.86
1995,7,Goddard,N,9.15,6.05
1995,8,Goddard,N,6.68,4.61
1995,9,Goddard,N,6.13,4.38
1995,10,Goddard,N,8.94,5.91
1995,11,Goddard,N,10.97,8.95
1995,12,Goddard,N,12.98,11.02
